Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images,CITY,X,Y
11/7/2015 18:15,29 Palms,CA,USA,Egg,20 minutes,"Blue, cloud-shaped light hovering in the sky. ((NUFORC Note: U. S. Navy missile launch. PD))",11/19/2015,,29 Palms,-82.76976,43.61361
8/7/2012 0:00,29 Palms,CA,USA,Changing,All night,Small UFOs in southern California,9/24/2012,,29 Palms,-82.76976,43.61361
6/30/1978 2:30,29 Palms,CA,USA,Egg,15 minutes,while in the marine corp. I seen two ufo's that looked oval and like chrome and moved together very quik.,8/5/2009,,29 Palms,-82.76976,43.61361
8/8/1977 23:00,29 Palms,CA,USA,Unknown,15 minutes,"I was in the Marines and stationed at Marine Corps Base 29 Palms, CA in the Summer of 1977. I and some friends were at a Drive-In movie",9/2/2005,,29 Palms,-82.76976,43.61361
7/4/1987 12:00,Abiline (Dyess AFB),CA,USA,Oval,10,"An oval, silver obj. was observed by many including my self while I was standing on the third floor stairs at Dyes AFB. This object ha",3/24/2016,,Abiline,-99.74142,32.44917
9/25/1998 20:00,Acampo,CA,USA,Teardrop,2-3 sec,"An orange colored, teardrop shaped object trailed by white sparks appeared in the Eastern sky at about 130 degrees from the horizon.",11/19/1998,,Acampo,-121.27445,38.17472
8/21/2020 20:05,Acton,CA,USA,Flash,10-20 seconds,Bluish/greenish light flashing on a white object traveling faster than any figher jet with no sound.,8/27/2020,,Acton,0.761002693,52.07072298
7/26/2013 0:53,Acton,CA,USA,Flash,10 minutes,5 consecutive flashes of light.,8/30/2013,,Acton,0.761002693,52.07072298
4/24/2008 16:45,Acton,CA,USA,Unknown,15 sec,Bad weather and overcast skies make a great place to test they're new toys,7/28/2010,,Acton,0.761002693,52.07072298
12/5/2005 19:40,Acton,CA,USA,Fireball,1 minute,"Driving north on 14 Freeway, 5 miles south of Escondido Drive, bright clear skies as I was driving north on the side of the mountain I",12/16/2005,,Acton,0.761002693,52.07072298
9/11/1999 22:16,Acton,CA,USA,Fireball,3 seconds,While driving westbound on I14 from Acton I saw green ball of light move across the sky from my upper left to my lower right view throu,10/2/1999,,Acton,0.761002693,52.07072298
1/15/1994 23:00,Acton,CA,USA,Unknown,30 mins,it was like they knew i was watching them.,1/31/2011,,Acton,0.761002693,52.07072298
8/15/1997 0:00,Acton (approx.),CA,USA,Oval,20-25 seconds,"Oblong, orange light in sky traveling at slow speed. White beam of light came down from orange light, then went back up into orange li",8/10/1999,,Acton,0.761002693,52.07072298
9/19/2008 23:20,Acton or Palmdale,CA,USA,Triangle,still out there,Bright object released 3 Red Triangle Shapes and they are now hovering,10/31/2008,,Acton,0.761002693,52.07072298
10/12/2003 0:00,Acton/Aqua Dulce,CA,USA,Circle,8-10seconds,BRIGHT RED OBJECT DECENDS/THEN TURN BRIGHT GREEN/BLUE AND SHOOTS OFF!,10/31/2003,,Acton,0.761002693,52.07072298
11/1/2022 20:15,Adelanto,CA,USA,Light,4-5 minutes,We were just looking at the start and then...,12/22/2022,,Adelanto,-117.4101,34.57922
8/30/2011 21:00,Adelanto,CA,USA,Light,1 minute,Bright light moving fast but not a shooting star,10/10/2011,,Adelanto,-117.4101,34.57922
1/17/2008 18:30,Adelanto,CA,USA,Triangle,30 min,very strange and it looked very like a UFO.,1/21/2008,,Adelanto,-117.4101,34.57922
3/14/2007 10:08,Adelanto,CA,USA,Unknown,ONGOING,JUST STATIONAIRY UP IN THE SKY FLASHING COLORED LIGHTS FOR OVER TEN MINUTES AND ONGOING.,4/27/2007,,Adelanto,-117.4101,34.57922
11/8/2003 7:00,Adelanto,CA,USA,Other,1 minute,"something drew my eyes to it, as I do not always look in that particular direction when walking on my walkway",11/26/2003,,Adelanto,-117.4101,34.57922
6/30/1984 6:40,Adelanto,CA,USA,Sphere,10 min,Saw a flashing light that turned out to be something perfectly round floating above the ground,10/31/2008,,Adelanto,-117.4101,34.57922
12/22/2017 17:35,Agoura Hills,CA,USA,Sphere,minutes,Two white orbs traveling SW over Santa Monica Mountains leaving large cloud plume which diffesed after 6 minutes. Photos available,1/12/2018,,Agoura Hills,-118.77812,34.14611
11/18/2017 1:50,Agoura Hills,CA,USA,Light,3 minutes,Bright shooting star shot across sky then froze just above Malibu Hills,5/9/2019,,Agoura Hills,-118.77812,34.14611
6/10/2016 18:10,Agoura Hills,CA,USA,Oval,10 seconds,I've spoken with you before. Wife shooting airplane and moon. Anomaly appeared in image 2 of 3 only. Facing west. Airplane probably ori,6/16/2016,,Agoura Hills,-118.77812,34.14611
10/5/2012 21:30,Agoura Hills,CA,USA,Fireball,3 minutes,"Intense bright white round light with purple blinking within it; darted up, down, sideways, circling around & repeated the motions.",10/30/2012,,Agoura Hills,-118.77812,34.14611
6/22/2008 3:00,Agoura Hills,CA,USA,Light,7-10 minutes,"Strong, pulsating light that changed colors from red to green to white. Object appeared stationery in sky",7/5/2008,,Agoura Hills,-118.77812,34.14611
9/11/2007 17:30,Agoura Hills,CA,USA,Disk,5 minutes,Saucer shape w/lghts around rim that were in a chasing pattern. Red light on top in the center.,10/8/2007,,Agoura Hills,-118.77812,34.14611
3/14/2006 18:45,Agoura Hills,CA,USA,Formation,10 seconds,"Three white dots flying across the sky in Agoura Hills, CA",5/15/2006,,Agoura Hills,-118.77812,34.14611
2/9/2005 16:30,Agoura Hills,CA,USA,Sphere,30 seconds,"Sphere traveling very high, and very fast from south to north over the 101 freeway heading over towards Oak Park. Gracefully curved lef",2/22/2005,,Agoura Hills,-118.77812,34.14611
11/1/2004 19:00,Agoura Hills,CA,USA,Light,1 minute,Two brilliant white lights hovered in the Southeast near Malibu Canyon and slowly faded at the same time,12/3/2004,,Agoura Hills,-118.77812,34.14611
4/1/2004 21:00,Agoura Hills,CA,USA,Disk,10 minutes,"ufo sighted with 6 kids in my car in Agoura Hills, CA @2004-2005?",7/31/2020,,Agoura Hills,-118.77812,34.14611
12/22/2005 19:10,Agua Dulce,CA,USA,Egg,3 seconds,"This is the second time in two weeks. Driving north on 14 Fwy, looked to right and saw an egg shape object fall from the sky. The",2/14/2006,,Agua Dulce,-94.14776,18.13761
